year,month,day,snow
2017,11,1,0
2017,11,2,0
2017,11,3,0
2017,11,4,0
2017,11,5,0
2017,11,6,0
2017,11,7,0
2017,11,8,0
2017,11,9,0
2017,11,10,0
2017,11,11,0
2017,11,12,0
2017,11,13,0
2017,11,14,0
2017,11,15,0
2017,11,16,0
2017,11,17,1
2017,11,18,10
2017,11,19,30
2017,11,20,1
2017,11,21,3
2017,11,22,0
2017,11,23,2
2017,11,24,0
2017,11,25,4
2017,11,26,5
2017,11,27,6
2017,11,28,1
2017,11,29,0
2017,11,30,0
2017,12,1,0
2017,12,2,0
2017,12,3,8
2017,12,4,3
2017,12,5,11
2017,12,6,6
2017,12,7,1
2017,12,8,11
2017,12,9,8
2017,12,10,2
2017,12,11,3
2017,12,12,3
2017,12,13,5
2017,12,14,0
2017,12,15,1
2017,12,16,10
2017,12,17,10
2017,12,18,10
2017,12,19,5
2017,12,20,3
2017,12,21,5
2017,12,22,1
2017,12,23,0
2017,12,24,2
2017,12,25,4
2017,12,26,4
2017,12,27,17
2017,12,28,7
2017,12,29,17
2017,12,30,1
2017,12,31,2
2018,1,1,5
2018,1,2,3
2018,1,3,9
2018,1,4,17
2018,1,5,1
2018,1,6,17
2018,1,7,9
2018,1,8,0
2018,1,9,3
2018,1,10,2
2018,1,11,3
2018,1,12,16
2018,1,13,17
2018,1,14,6
2018,1,15,1
2018,1,16,5
2018,1,17,7
2018,1,18,9
2018,1,19,8
2018,1,20,2
2018,1,21,3
2018,1,22,1
2018,1,23,12
2018,1,24,1
2018,1,25,8
2018,1,26,13
2018,1,27,5
2018,1,28,6
2018,1,29,5
2018,1,30,0
2018,1,31,0
2018,2,1,6
2018,2,2,
2018,2,3,0
2018,2,4,1
2018,2,5,6
2018,2,6,0
2018,2,7,1
2018,2,8,4
2018,2,9,1
2018,2,10,1
2018,2,11,15
2018,2,12,1
2018,2,13,4
2018,2,14,6
2018,2,15,7
2018,2,16,4
2018,2,17,8
2018,2,18,11
2018,2,19,13
2018,2,20,10
2018,2,21,6
2018,2,22,5
2018,2,23,7
2018,2,24,10
2018,2,25,1
2018,2,26,6
2018,2,27,2
2018,2,28,7
2018,3,1,28
2018,3,2,0
2018,3,3,1
2018,3,4,1
2018,3,5,0
2018,3,6,3
2018,3,7,1
2018,3,8,1
2018,3,9,1
2018,3,10,0
2018,3,11,2
2018,3,12,5
2018,3,13,2
2018,3,14,1
2018,3,15,4
2018,3,16,8
2018,3,17,10
2018,3,18,0
2018,3,19,1
2018,3,20,4
2018,3,21,3
2018,3,22,1
2018,3,23,0
2018,3,24,0
2018,3,25,2
2018,3,26,1
2018,3,27,0
2018,3,28,0
2018,3,29,0
2018,3,30,2
2018,3,31,0
